District Name,Name,Address,Contact Number,
,"Jiva Ayurvedic Clinic - Bhopal, Madhya Pradesh (Ayurvedic Doctor in Bhopal | Ayurvedic Hospital in Bhopal | Ayurvedic Clinic)","E-8/1, Near Savoy Complex in front of UCO Bank Gulmohar Colony",070241 45671,
,,,,
Vidisha,विशुद्ध आयुर्वेद चिकित्सा केन्द्र,"GRHC+QP6, Arihant Vihar Rd",,
,Aarogya Ayurvedic Clinic,Infront Of Mata Mandir,098930 27634,
,Kayakalp Ayurved Hair & Skin care,Station Rd,087703 14447,
,Ayurvedic Government Panchkarma Hospital,"GRC5+883, NH 86",,
,Vaidhyam Ayurveda,"in front of swetambar jain mandir, near parinay garden",,
,Dr. Gourav Sharma (Aarogyam Clinic),"Vaishali nagar reetha phatak road, Vaishali Nagar Main Rd, near Green City gate",098272 94411,
,IMC AYURVEDAS,"24, Durgapura Station Back Entry Rd",,
,संजीवनी आयुर्वेदिक चिकित्सालय,"GRG6+JPW, Unnamed Road",,
,महर्षि आयुर्वेदिक क्लिनिक,"GRFF+HHG, Karaiyakheda Road, in front of Ananya medical",,
,Jiva Ayurvedic and Medicare,"Infront of Central bank, Ahamadpur chouraha",,
,"sundarlal vedya Medical,Bada Bazaar,Vidisha(M.P.)SINCE""1922""",सुंदरलाल वैद्य,079726 00497,
,Raghuvanshi Clinic,"Daulatpur, Vidisha, SH-19, Vidisha Road, Vidisha",085190 32015,
,"ano rectal ayurved clinic for fissure,fistula,heamorroids kshar sutra therapy tretment","51, near kanara bank",,
,Mahendra kumar sundarlal Jain vaidh,,,
,Dr Deepak Sharma HOMOEOPATH,"Tilak chowk, Kagdipura Rd",099935 38403,
,Pile Clinic,"GRF5+4M2, near syndicate bank",,
,Dr. Soni's Homoeopathy,"Shop No. 25 , Yuvraj Club Market Railway Station Road",098260 99553,
,Samar Care Clinic,,087702 87156,
,Maa homoeopathic clinic,Road no 1Krishna Colony,062687 08616,
,New S P Medical,"6, Vidisha",078981 20188,
,Shivayu Ausdhi Bhandar,"GRF7+P79, Kanhaiya hazari ka bada",,
,Indian Ayurveda New Researches,"Saroj Bhawan, Dandapura Rd",,
,Pitalia Clinic,GRG4+G9P,07592 234 288,
,Vindhya Ayurveda,"infront of bjp offfice, old city hospital",,
,,,,
Morena,वैद्य राधाबल्लभ अग्रवाल (आयुर्वेद चिकित्सा अधिकारी),"54,मनोज उपाध्याय तूलिका स्कूल वाली गली",079746 65578,
,Samarth Ayurved - Best Sexologist Doctor in Morena - Ayurvedic Erectile Dysfunction/Men's Weakness Treatment,"Barial Road, near Kansana Bunglow",095228 80022,
,"Dr.Saurav Sharma डॉ सौरभ शर्मा (BAMS, MD Ayurved) Arogya ayurved & panchkarm chikitsalay आरोग्य आयुर्वेद & पंचकर्म चिकित्सालय","Bhoj bhawan, Mahaveer Wali Gali",079873 16885,
,Dhanvantari Ayurveda Clinic,F-7 MPEB Colony Near old bus stand,,
,Vatsalam Patanjali Arogya Kendra,M S Road,,
,SHRI GAJANAN AYURVED & PANCHKARM KENDRA,"Old houseing board Colony dr p k tomar CHAURAHA, EWS 42, opposite Tilhan sangh qwaters",,
,Swarnaprashan,"F-7, near old bus stand",,
,"Ayurved Bharati Clinic - Best Ayurvedic Doctor and Ayurvedic Treatment Centre for Cancer in Morena, Gwalior","Ayurvite Wellness Private Limited, VIP Rd",083700 30485,
,Dr.Mukesh Prajapati (आयुर्वेद चिकित्सा अधिकारी),"159/39 Gaytri colony, near vidhyavati hospital, in front of SP Bunglow",,
,Ayurvedic Vaidya,"Ram, Solanki Wali Gali",,
,Nagendra Chikisthalay,"G222+VMJ, Station Rd",094257 80666,
,Dhanvantri aaryuved kender,Jain mandir road palika bazar Mahamaya mandir ke pass,,
,Chhaya Clinic,"00, Aampura Rd",096691 33551,
,Government Ayurvedic Hospital,"Senthara, Porsa, Morena, SH-2, Morena",096854 02403,
,Patanjali Chikitsalaya,"NEAR KANSANA, BHAWAN, M.S. ROAD",094073 48736,
,Winning Consumers Product,,,
,Rathore.Clinic.,GX3W+RVJ,079749 79903,
,Om Shri Sai Ji Clinic (Dr.Ajay Rathore),G257+FJ6,,
,"Ayurvedic Nurotherepy Acupressure Treatment/poonam traders , dhanwantari frenchise",Unnamed Road,,
,IMC Ayurvedic Harbal Store,Ater Road Porsa,081200 77765,
,Dr Shivani Tomar,"F3, ke samne, BSNL Tower, Chambal Colony Rd",,
,"Ayurved Bharati Hospital & Panchakarma Centre - Best Ayurvedic Hospital for Cancer with Panchakarma, Viddha Karma, Agnikarma","At Village - Kukthari, Tehsil - Ambah",083700 30485,
,Ayurvite Wellness Private Limited,"VIP Road, near Jiwaji Club",083700 30485,
,Gandhi Hospital,"FXWW+PFW, Nehru Park Rd",,
,Kaushiki skin and hair Clinic,"Triveni Dharmshala, Vankhandi Rd",090090 53807,
,Vedanshi Clinic (वेदांशी क्लीनिक),"G27C+9X7, Ambah - Morena Rd",,
,aayurveda clinic kendra,"shop no.41,road.2,ms road,Morena,Madhya Pradesh,476001,India shop no.41,road, 2, M S Road",070008 48015,
,Sikarwar aayurvedic clinic,"21,01, Sikarwar aayurvedic clinic, Vankhandi Rd",093013 76483,
,,,,
Sheopur,,,,
,,,,
,Vatsalam Patanjali Arogya Kendra,M S Road,,
,Patanjali Chikitsalaya,"NEAR KANSANA, BHAWAN, M.S. ROAD",094073 48736,
,Patanjali Aarogya Kendra,M S Road,097546 60688,
,Dr. Yadav G Ka Clinic,8QRV+QV6,090094 18094,
,Garg clinic,Purani Sabji Mandi Rd,,
,Rajesh Prajapati,5HV5+RX3,,
,Gurveer Ayurveda,"Pilli kothi back side, Pali Road",097814 24645,
,RAHAT HEALTH CARE,"Shop N, 1, Gandhi Ashram Rd",079992 09392,
,Dr. Rajendra Prasad Sharma,8RV3+HJH,090099 64850,
,Dr. OM prakash sharma,MM8W+QW3,,
,Sagar Ayurvedic Medicine,5F88+PM3,,
,Government Ayurvedic Hospital,"Govarda Khurd, Sheopur, SH-6, SS Road, Shivpuri",,
,,,,
Bhind,"Ayurved Bharati Hospital & Panchakarma Centre - Best Ayurvedic Hospital for Cancer with Panchakarma, Viddha Karma, Agnikarma","At Village - Kukthari, Tehsil - Ambah",083700 30485,
,"Ayurved Bharati Clinic - Best Ayurvedic Doctor and Ayurvedic Treatment Centre for Cancer in Morena, Gwalior","Ayurvite Wellness Private Limited, VIP Rd",083700 30485,
,"Dr.Saurav Sharma डॉ सौरभ शर्मा (BAMS, MD Ayurved) Arogya ayurved & panchkarm chikitsalay आरोग्य आयुर्वेद & पंचकर्म चिकित्सालय","Bhoj bhawan, Mahaveer Wali Gali",079873 16885,
,Dhanvantari Ayurveda Clinic,F-7 MPEB Colony Near old bus stand,,
,वैद्य राधाबल्लभ अग्रवाल (आयुर्वेद चिकित्सा अधिकारी),"54,मनोज उपाध्याय तूलिका स्कूल वाली गली",079746 65578,
,Dhanvantri aaryuved kender,Jain mandir road palika bazar Mahamaya mandir ke pass,,
,Ayurvedic Vaidya,"Ram, Solanki Wali Gali",,
,Swarnaprashan,"F-7, near old bus stand",,
,Vedanshi Clinic (वेदांशी क्लीनिक),"G27C+9X7, Ambah - Morena Rd",,
,Government Ayurveda Dispensary,F47G+V7J,,
,SHRI GAJANAN AYURVED & PANCHKARM KENDRA,"Old houseing board Colony dr p k tomar CHAURAHA, EWS 42, opposite Tilhan sangh qwaters",,
,Dr.Mukesh Prajapati (आयुर्वेद चिकित्सा अधिकारी),"159/39 Gaytri colony, near vidhyavati hospital, in front of SP Bunglow",,
,Nagendra Chikisthalay,"G222+VMJ, Station Rd",094257 80666,
,Samarth Ayurved - Best Sexologist Doctor in Morena - Ayurvedic Erectile Dysfunction/Men's Weakness Treatment,"Barial Road, near Kansana Bunglow",095228 80022,
,Winning Consumers Product,,,
,Dr. Anil Gupta,"M9C9+XFR, Gorelal Dharmshala Rd",,
,IMC Ayurvedic Harbal Store,Ater Road Porsa,081200 77765,
,Dr Girish vaidh Ambah,"Bus Stop, Porsa Chauraha, Pinahat Rd",,
,Om Shri Sai Ji Clinic (Dr.Ajay Rathore),G257+FJ6,,
,Chhaya Clinic,"00, Aampura Rd",096691 33551,
,Government Ayurvedic Hospital,"Senthara, Porsa, Morena, SH-2, Morena",096854 02403,
,चौहान वैध जी का औषधालय,"Pt.putturam, Gangaram Wali Gali",,
,"Ayurvedic Nurotherepy Acupressure Treatment/poonam traders , dhanwantari frenchise",Unnamed Road,,
,Ayurvite Wellness Private Limited,"VIP Road, near Jiwaji Club",083700 30485,
,Rathore.Clinic.,GX3W+RVJ,079749 79903,
,Saraswati imc herbal store,"Kadaka vatika, Ater Rd",,
,Vatsalam Patanjali Arogya Kendra,M S Road,,
,hindustani Ayurveda and Medical Research,"no 7, infront of icchapurna mandir, gandhi nagar street",,
,Ayurveda dawakhana,"सब्जी मंडी का नुक्कड़ बंगला बाजार लश्कर रोड़, Laskar road",086025 01108,
,Mukesh Ahint Ayurvedic,"HQ2X+MW9, Jamana Rd",,
,Patanjali Maharshi ayurvedic center,759H+Q96,,
,Baba Makhan Das Medical Store,"P64H+2R8, Porsa Rd",097527 82987,
,Psychiatry and Meditation bhind,"33, near bus stop",,
,Sanjeevan Aushadhalay Doctor Residence and Counseling Center,"Battalion S.A.F, Nandu Niwas, near Honda Agency, in front of 5 number gate 17",,
,धर्मेंद्र सिंह आयुर्वेदिक डॉक्टर,"HR32+6MX, Jamne mandir Road Road",,
,SANJEEVAN AUSHDHAYAL,HQCQ+4JQ,,
,Netrapal Singh ji Vaidhya,"HQGH+HHC, MP SH 2",,
,Patanjali Arogya Kendra & Store,Bhind Rd,,
,BABA DEVPURI MEDICAL,"Near K. S. Mill, Jouri Rd, in front of Rishi Galav College",097521 37514,
,Harioudh Dispensary,"HQ8P+WCQ, MP SH 19",,
,Shuddhi Hiims (Gwalior) Ayurveda Clinic,"C-23/2 , First, near, Chauraha, University Rd",087920 87920,
,Gandhi Hospital,"FXWW+PFW, Nehru Park Rd",,
,Sanyasi Ayurveda,1,093295 72575,
,Skinos Ayurveda & Panchkarma Centre - Best Ayurvedic Clinic in Gwalior,"A-8, Tansen Rd",089627 06760,
,Dr. Shubham Sharma,R892+QCV,095844 41242,
,Patanjali Chikitsalaya,"Kumhraua Road,, Arya Nagar",094256 05574,
,OM AYURVED PANCHAKARMA CLINIC (Dr.Ashutosh Goyal),"Nakkasha No 2 Ram Kui, Gali, Nai Sadak",092002 06080,
,Dr Shivani Tomar,"F3, ke samne, BSNL Tower, Chambal Colony Rd",,
,B.J. & Sons Dabur Ayurvedic Center,"Gopal Ji Complex, Sadar Bazar, Sadar Bazar Road, Morar",#ERROR!,
,Nitin Ayurvedic Center Devi Dava Vaidya,"66CM+7F6, MH Rd, Opposite Marimata",070497 89605,
,Bangali Dawakhana,"66W8+WJ8, Pintopark Infront Police Choki",098273 23734,
,Sejal Ayurvedic Dawaghar,66F8+WWP,086710 34779,
,Sai Ram Ayurveda & Panchkarma Chikitsa Kendra - Best Ayurvedic Treatment in Gwalior,"Shop No-7, Near Oriental Bank, Shabd Pratap Ashram No.2",,
,Jiva Ayurveda Clinic - Gwalior,"Bajrang Plaza, Plot no 302 First Floor, Sachin Tendulkar Rd, near BSNL",093114 01963,
,Samarth Ayurved,"1st floor batham tower,near kaila deve temple Mela road, Gole Ka Mandir Rd",,
,Deep medical,,,
,Ayurvedic Doc Shivani Vedasmantra,Hazira,097545 61114,
,Jain Ayurved Kendra,"65JF+82X, Kila Gate Rd, Near Jain Mandir",099261 01445,
,Haridwar Ayurvedic Spine Centre (Dr. Dharmendra Richariya) Ayurvedic panchkarma practitioner,"M, 258, Madhav Nagar Rd",084358 16730,
,Punarjani Ayurveda Panchkarma & Infertility Clinic,"Vardhan Apartment, University Rd, near Monte Carlo show",0751 400 7236,
,Dr. Heena kakwani's Nirvaan Ayurved Clinic and Panchkarm Centre,"Shitole Sahab Ka, near Shri Ram Palace",087706 54053,
,Maa Bhageshwari Ayurveda Panchkarma Center,32 Marghat Road Gadai Pura,083193 87461,
,आरोग्य क्लिनिक,"66X8+4QC, Pinto Park Rd",,
,Om Ayurveda Nirog Dham,"55VH+83Q, Harishankar Puram, near Dr. Ashok Tiwari",099930 07676,
,Dr. Sangram Singh sisodiya,colony jail road,,
,BENGALI CLINIC,"267,SHATABDI PURAM,DD NAGAR,Gwalior,Madhya Pradesh,474012,India 267",090740 62875,
,,,,
Gwalior,"Ayurved Bharati Clinic - Best Ayurvedic Doctor and Ayurvedic Treatment Centre for Cancer in Morena, Gwalior","Ayurvite Wellness Private Limited, VIP Rd",083700 30485,
,Nagendra Chikisthalay,"G222+VMJ, Station Rd",094257 80666,
,Patanjali Maharshi ayurvedic center,759H+Q96,,
,Skinos Ayurveda & Panchkarma Centre - Best Ayurvedic Clinic in Gwalior,"A-8, Tansen Rd",089627 06760,
,Samarth Ayurved,"1st floor batham tower,near kaila deve temple Mela road, Gole Ka Mandir Rd",,
,"Dr.Saurav Sharma डॉ सौरभ शर्मा (BAMS, MD Ayurved) Arogya ayurved & panchkarm chikitsalay आरोग्य आयुर्वेद & पंचकर्म चिकित्सालय","Bhoj bhawan, Mahaveer Wali Gali",079873 16885,
,Jiva Ayurveda Clinic - Gwalior,"Bajrang Plaza, Plot no 302 First Floor, Sachin Tendulkar Rd, near BSNL",093114 01963,
,Shuddhi Hiims (Gwalior) Ayurveda Clinic,"C-23/2 , First, near, Chauraha, University Rd",087920 87920,
,SAMADHAN AYURVEDIC AND PANCHKARMA CHIKITSALAYA ( DR. ANIL GUPTA AND DR. SADHNA GUPTA ),"Roxy Pul, near Kartar Hotel",098273 55759,
,"Swami Vivekananda: Ayush Dispensary, Gwalior, M.P.","Sharada Balgram, Sachin Tendulkar Rd",097135 96697,
,Sai Ram Ayurveda & Panchkarma Chikitsa Kendra - Best Ayurvedic Treatment in Gwalior,"Shop No-7, Near Oriental Bank, Shabd Pratap Ashram No.2",,
,Dhanvantari Ayurveda Clinic,F-7 MPEB Colony Near old bus stand,,
,Dr Bharadwaj Ayurveda Care Hospital ( old name- Sanjeevani),"First Floor, Krishna Tower, Opp Mishra Petrol Pump, near Central Park Hotel",094065 02975,
,Ayurvedic Vaidya,"Ram, Solanki Wali Gali",,
,OM AYURVED PANCHAKARMA CLINIC (Dr.Ashutosh Goyal),"Nakkasha No 2 Ram Kui, Gali, Nai Sadak",092002 06080,
,Sanjeevani Ayurvedic Hospital,in front of SP Office,091313 47713,
,SHRI GAJANAN AYURVED & PANCHKARM KENDRA,"Old houseing board Colony dr p k tomar CHAURAHA, EWS 42, opposite Tilhan sangh qwaters",,
,Sanyasi Ayurveda,1,093295 72575,
,वैद्य राधाबल्लभ अग्रवाल (आयुर्वेद चिकित्सा अधिकारी),"54,मनोज उपाध्याय तूलिका स्कूल वाली गली",079746 65578,
,Haridwar Ayurvedic Spine Centre (Dr. Dharmendra Richariya) Ayurvedic panchkarma practitioner,"M, 258, Madhav Nagar Rd",084358 16730,
,Dr. Sheikh | Best Sexologist in Gwalior | Top Ayurvedic Sexual Health Specialist Doctors,Gole Ka Mandir Rd,098370 23223,
,आरोग्य क्लिनिक,"66X8+4QC, Pinto Park Rd",,
,Punarjani Ayurveda Panchkarma & Infertility Clinic,"Vardhan Apartment, University Rd, near Monte Carlo show",0751 400 7236,
,ayurvedic aushadhalaya,"179, Line Number 3",094257 55964,
,B.J. & Sons Dabur Ayurvedic Center,"Gopal Ji Complex, Sadar Bazar, Sadar Bazar Road, Morar",#ERROR!,
,AYURVED CLINIC,"27, near Prabha Hotel",090090 48827,
,Samarth Ayurved - Best Sexologist Doctor in Morena - Ayurvedic Erectile Dysfunction/Men's Weakness Treatment,"Barial Road, near Kansana Bunglow",095228 80022,
,"Ayushmaan Ayurvedic Super Specialty Clinic for Piles, Fissures, Fistula-in-ano & Abscess",30,075095 70570,
,"Ayurved Bharati Hospital & Panchakarma Centre - Best Ayurvedic Hospital for Cancer with Panchakarma, Viddha Karma, Agnikarma","At Village - Kukthari, Tehsil - Ambah",083700 30485,
,Dr.Mukesh Prajapati (आयुर्वेद चिकित्सा अधिकारी),"159/39 Gaytri colony, near vidhyavati hospital, in front of SP Bunglow",,
,#ERROR!,"76GC+7GH, D.D.Nagar Gate, Airport Rd, opp. State Bank",,
,DR Anil Mangal,"12 A chandra nagar ex. Lashkar, Gwalior, Madhya Pradesh",,
,DR. K L SHARMA,"591 Army Bazariya, Tota Ki Bazariya, Near Command 2nd Batalian, Lashkar",096441 92896,
,Vaid Pradeep V Ghodke,opp. New,094251 12686,
,Amit ayurvedic medicine,·,093992 53516,
,Dr. Rupak Ji - Best Ayurvedic Sexologist Doctor In Gwalior,"Shop No A-8 Shastri Market, MLB Bypass Rd",070002 44282,
,Ojas Ayurved Panchkarm & Pain Management-Best Skin/Hair/PRP/Aesthetic/Infertility Treatment Leech/Cupping Hijama/Swarnprashan,"D-19, 20/1, Harishankar Puram Rd",094797 74340,
,Shatayu advance ayurved and physiotherapy clinic - Best Ayurvedic Treatment Clinic | Thyroid Treatment Clinic in Gwalior,"Plot no F 30, F- Block, near muktanand mandir",,
,Maa Bhageshwari Ayurveda Panchkarma Center,32 Marghat Road Gadai Pura,083193 87461,
,Dr Beni Madhav Shastri,55W4+CM3,,
,AYUSHMAAN clinic,"Vaishno Dham, road",089098 63535,
,Charaka Ayurved & Panchkarma Chikitsalaya,"55W6+3Q9, Hanuman Mandir, Hospital Rd",094251 21128,
,Mangalam Ayurved Hospital and Panchkarma Research Center,"12 A, Chandra nagar, Kherapati Temple Rd",083499 55641,
,Om Ayurveda Nirog Dham,"55VH+83Q, Harishankar Puram, near Dr. Ashok Tiwari",099930 07676,
,Samarth ayurveda sexual health clinic,586,,
,Ayurmanav Ayurveda,"Kamadgiri Apartment, Bahodapur Rd",,
,Dr RAJESH KUMAR. {AYURVEDIC},,,
,Dr Uma Mangal,"12-A, Chandra nagar, near mangal nursing home, apati road,",083499 55641,
,Nitin Ayurvedic Center Devi Dava Vaidya,"66CM+7F6, MH Rd, Opposite Marimata",070497 89605,
,Jain Ayurved Kendra,"65JF+82X, Kila Gate Rd, Near Jain Mandir",099261 01445,
,Dr. Aijaz Khanooni Clinic,Dargah Hazrat Khwaja Khanoon RA Gwalior - 474003,,
,Ayurvedic Doc Shivani Vedasmantra,Hazira,097545 61114,
,Swarnaprashan,"F-7, near old bus stand",,
,Madhavbaug clinic - Gwalior (Vikas Nager),"B, First Floor, near Apollo Hospital 39, near Apollo Hospital",,
,Agarwal Ayurvedic Stores,"66CF+XFX, Saudagar Santar",0751 403 0447,
,Demo,"1, Near, Gubbara Phatak",,
,Dr. Prashant Sharma- BAMS in Gwalior,Dr. Prashant's Ayurvedic Clinic Govt Ayurveda Hospital,079871 17693,
,Sejal Ayurvedic Dawaghar,66F8+WWP,086710 34779,
,Dr. Narendra Kumar - Best Piles Treatment Without Surgery | Fistula | Fissure Treatment in Gwalior,"Sagar Medical Ke Upar,Chappar Wala Pull Near Dr Bhojwani X-Ray ,Sudarsan Hotel Ke Aange",098938 23673,
,Ratan Arogyam Ayurvedic And Dental Clinic,"A-343, Sagartal Rd, in front of Suraj Sundram Garden",076938 04202,
,Shreeji Ayurvedic Stores,"Sitharam Complex, Opp Saudhgar Santhar, Sadar Bazar, Morar",0751 402 6685,
,Government Ayurvedic College & Hospital,55Q7+54M,0751 237 2802,
,Dr. Heena kakwani's Nirvaan Ayurved Clinic and Panchkarm Centre,"Shitole Sahab Ka, near Shri Ram Palace",087706 54053,
,Gokul Panchkarm Clinic,"65JF+W3H, Kila Gate Rd, Near Arya Samaj Mandir",088786 07919,
,"Dr. S Biswas - Piles, Fistula, Fissure, Skin Disease Treatment By Excellent Medicines Without Operation At Reasonable Price","Sewa Nagar Kila Gate Road Tail, Mill Wali Gali, near masjid",093032 23767,
,Skinos Ayurveda-Best Hair Transplant centre in gwalior,"65FJ+28H, tansen nagar",,
,Jeevan Sudha Ayurvedam,"11, Vindhyachal Complex, Behind Airtel Office, Unnamed Rd",089823 59543,
,Skinos Ayurveda,"A-8, Tansen Rd",099262 31326,
,IMC Ayurvedic,"Shop 13, Near State Bank ATM Tanseen Rd, Hazira, 474003",,
,पतंजलि चिकित्सालय एवं स्टोर,·,079997 90742,
,J.S Memorial Hospital,,,
,MARMA Tharapy,"SRI SRI OJUS AYURVEDA PANCHKARMA, D-5, Sachin Tendulkar Extention Marg, near LEKMI SALOON",,
,Charak Ayurvedic,kampoo choraha,088893 79146,
,Ayurvedic Health Care Clinic,·,091650 00038,
,अजंता IMC हर्बल आयुर्वेद केअर सेन्टर,"C-33/A, Gandhi Nagar Rd",096753 00356,
,Arogyam,Laxmi Ganj Rd & AB Rd,0751 409 3590,
,AYUPRAVESH - AYURVEDA CONSULTANT,"GOVT AYURVEDA COLLEGE & HOSPITAL, near MANDRE MATA MANDIR",,
,Dr Alok Singh,no. 2,077728 83615,
,BENGALI CLINIC,"267,SHATABDI PURAM,DD NAGAR,Gwalior,Madhya Pradesh,474012,India 267",090740 62875,
,92-93 Sarthak ayurveda & panchkarma clinic,55WC+VFP,,
,Aastha Aushadhalaya,"6556+W63, Shinde Ki Chhawani Road, Lashkar, near Bijli Ghar",094069 89923,
,Ayurvedic Dwakhana,"65C3+M2G, Jadahav Colony, Tiraha",093032 96032,
,श्री खेड़ापति IMC मेगा हर्बल आयुर्वेदा स्टोर डिस्ट्रीब्यूटर,"Front of Khedapati Temple, C-33/A, Gandhi Nagar Rd",096753 00356,
,Patanjali Chikitsalaya,·,098262 26114,
,Patanjali Sampurna Ayurved Kendra,Near Bank Of India,0751 242 0535,
,SUDHA AYURVEDIC AND HERBAL SHOP,655W+9XG,,
,Real Ayurveda,55QC+JMX,,
,Shiv Shakti Ayurvedic,Gandhi Rd,096917 68352,
,,,,
Ashoknagar,,,,
,Vidhya ayurveda,HPHJ+2PX,,
,"Chitrans Clinic, Vidisha Road, Ashoknagar","HPFM+826, Vidisha Rd, Near Ashoknagar Bahadurpur Rd",075432 23405,
,Jan Aushadhi Kendra,Vidisha Rd,099933 07188,
,Patanjali Chikitsalay,"natraj complex, Gandhi Park Rd",097133 91014,
,BALAJI HOSPITAL AYURVEDIC,"WRFX+R9J, Unnamed Road",,
,,,,
,,,,
Shivpuri,,,,
,Narmade ayurvedam multi speciality panchkarma center,near omkar school DP ke samne,,
,Ksharsutra Clinic,Road,098936 69371,
,Vaidhji devendra,"RVQ9+QWM, MP SH 10",,
,BALAJI HOSPITAL AYURVEDIC,"WRFX+R9J, Unnamed Road",,
,ONLINE YOGA GUNA MP,"H/n J-54, behind utsav vatika",088795 08404,
,Surjan Ayurvedic Pharmacy,"M827+28V, Subhash Marg, Haat Road, opp. Veterinary Hospital",099813 13131,
,shree somnath ayurvedic aushdhalaya,gopal mandir,096854 60424,
,patanjali ayurved chikitsalaya tel ghani ab road guna mp,"tel ghani, AB Rd",097525 91924,
,GANPAT RAM PASARI AYURVEDIC AUSHDHALAY,·,07492 356 174,
,Ayush Clinic & Ayurvedic Panchkarma Center,Shivpuri - Jhansi Rd,093297 07844,
,Rajesh Dhakad,Semri Khurd 473885,,
,Ayurvedic doctor,"Near gurjar talab, Infront of siddheswar mela ground",,
,Shri Bhragu Ayurvedic Mandir,AB Rd,079877 38645,
,Pushp Sara,"202/1/1, PW No. 52, Village-Dholbaj",095893 10482,
,Patanjali Ayurveda,,,
,Dr abhishek kumar goyal,"Near gurjar talab, Infront of siddheswar mela ground",,
,Vidhya ayurveda,HPHJ+2PX,,
,"Dr.Suresh Jain,Asha Clinic,Mahal Road,Shivpuri MP",Mahal Road,,
,Bhrigu Ayurvedic Medical,"CMM8+QH5, near sabji mandi",,
,DR B.L.RAI,"near airport, in front of stadium",,
,SANJU BARELA HOUSE,·,062600 39047,
,Dr.Vijay Anand Sharma,"CM46+WFR, I.t.b.p",093000 11902,
,Guna Homoeopathic Medical Care,,,
,Sushma Ayurved Medical Store,CM96+V83,07492 450 089,
,"Patanjali chikitsalaya & Store, Guna",main road,090390 97697,
,AYUSHMAN HOMOEOPATHIC CLINIC AND MEDICAL,"J8X8+9VJ, Maharana Pratap Rd",090090 21350,
,Dr Neeraj Meena,"J8R2+GM4, Littile Angel School Road",,
,Patanjali Chikitsalay,"Ground Floor Savarkar Colony Market, Gurudwara Chowk, Dharamshala Rd, opposite Guttumal",094257 64999,
,Dr.brij Raghuwanshi,,,
,Adarsh Clinic Dr.S.K.Chaturvedi,"Stadium road, near jadhav sagar lack",094257 10440,
,संजू बारेला,"Gram kherikhata post, dist",,
,Dr. Abhishek Dwivedi,CMG7+RJ2,074157 72776,
,ADARSH CLINIC,·,094257 10440,
,Dr.Anand Intregated Clinic,"Sadar Bazar, ditt.M.P),",,
,AWPL (Asclepius Wellness Pvt. Ltd.) Office,"Samrat hotel piche, dev press ke paas, Hanuman Gali",,
,Mangal drug agency,Prakash Talkies Gali,094253 80840,
,hospital,CM96+684,,
,Shivpuri Imc Stores,CMP7+8X5,,
,Gwal Ayurveda,M848+F8P,,
,Indicveda,"J8W7+WP4, Dheeraj, Vijaya Bank, Pawaiya Complex, A B Road",076003 10810,
,Shri Giriraj Ayurvedic Agency,"CMC4+PQ2, Gurudwara Chowk, AB Rd",,
,,,,
,,,,
Guna,,,,
,धनवन्तरि आयुर्वेदिक औषधि भण्डार,,,
,Patanjali Chikitsalaya,Opens soon,094248 74397,
,Maa pitambara ayurvedic aushadi bhander,MF78+2H4,,
,Swasti Arogyam - Dr sanket Mishra,Open,,
,शासकीय अयूर्वेदिक हॉस्पिटल,MFH6+5CG,,
,Kankane Ayurved,"Bada Bazar, Vivekanand Chowk",,
,Shree Sharma Ayurved Mandir,MF44+F9F,,
,Sharmayu Genuine Ayurveda,Open,093020 31806,
,Shrotriya's Clinic,MF88+J75,094257 41497,
,DDRC Datia district hospital,"MF85+22G, Unnamed Road",,
,Bhawanivilas Palace,,,
,,,,
Alirajpur,,,,
,,,,
,Arogyam Ayurveda Centre,2H4H+PC7,090982 33170,
,Ayurved Clinic,3W45+HPV,,
,AAISH AYURVEDIC AUSHDHALAY,National Hwy 752 B,,
,"Ishvar Ayurved Hospital - Best Ayurved Hospital in Lunawada, Panchkarma, Garbh Sanskar, Infertility Centre in Lunawada","101,Nandan Arched, Modasa high way, opp. mahindra show room",094290 34294,
,आयुर्वेदिक चिकित्सा,JGFV+5G,,
,सरदार सिंह पारगी,8452+78,,
,Sadashiv Ayurvedic Clinic,4JG4+6WW,,
,M. Mahadev Herbal Care,"4JG5+HX3, Kuvara Chowk, Nr. Dalabhai's Maad,Besides Police Station",,
,bhagvati ayurved hospital and panch karma kendra,"44, Zalod - Ahmedabad Hwy",,
,Dr. Varun Saraf,"7 Tilak Marg, Amla line",099931 16463,
,,,,
Barwani,"Nisarg Homeopathy, Ayurvedic Clinic","2WM2+W7X, LIC COMPLEX near Central Bank, Facing District Hospital Gate",,
,Shri Dhanvantari Ayurved,"Ashagram Rd, near Ranjeet Club",098936 68885,
,Sarswati gupta madam doctor,2WP2+4M4,099812 48144,
,Govt Ayush wing panchkarma therapy,"2WM2+M43, MP SH 26",,
,DR DEVENDRA PATIDAR AROGYA HEALTH CARE CENTRE,2WQ2+6VF,,
,"Shri Krishna Ayurved Clinic , Kari , Barwani",2WJR+7FX,,
,Psychology and Meditation barwani,"bus stand, 32, near barwani",,
,Vedam Polyclinic & Diagnostic Centre (वेदम् पाॅलीक्लीनिक एण्ड डायग्नोस्टिक सेन्टर),"159/10, Anjad, Road",099814 52868,
,Dr.Rahul Patidar,"near kanakshree medical stores, behind court",,
,Dr. Tarun Patidar sampoorn ayurved panchkarm center,"MP SH 38, Dhamnod Rd, opp. Bal Vidhya Mandir School",075662 64832,
